AIC scores of trees from 100 runs after PartitionFinder and tree estimation:
                                             runs      aic
810   output_nomerge_100reps/nomerge08.nex.iqtree 166017.4
101   output_nomerge_100reps/nomerge10.nex.iqtree 166026.8
110   output_nomerge_100reps/nomerge01.nex.iqtree 166028.0
210   output_nomerge_100reps/nomerge02.nex.iqtree 166031.2
710   output_nomerge_100reps/nomerge07.nex.iqtree 166043.3
510   output_nomerge_100reps/nomerge05.nex.iqtree 166046.9
431   output_nomerge_100reps/nomerge42.nex.iqtree 166124.5
911   output_nomerge_100reps/nomerge90.nex.iqtree 166151.8
871   output_nomerge_100reps/nomerge86.nex.iqtree 166165.5
951   output_nomerge_100reps/nomerge94.nex.iqtree 166202.6
761   output_nomerge_100reps/nomerge75.nex.iqtree 166208.3
631   output_nomerge_100reps/nomerge62.nex.iqtree 166209.5
411   output_nomerge_100reps/nomerge40.nex.iqtree 166238.9
15              output_100reps/merge14.nex.iqtree 166239.6
381   output_nomerge_100reps/nomerge37.nex.iqtree 166241.4
801   output_nomerge_100reps/nomerge79.nex.iqtree 166246.5
63              output_100reps/merge62.nex.iqtree 166263.1
811   output_nomerge_100reps/nomerge80.nex.iqtree 166266.0
981   output_nomerge_100reps/nomerge97.nex.iqtree 166281.7
141   output_nomerge_100reps/nomerge13.nex.iqtree 166287.8
691   output_nomerge_100reps/nomerge68.nex.iqtree 166291.3
321   output_nomerge_100reps/nomerge31.nex.iqtree 166293.4
841   output_nomerge_100reps/nomerge83.nex.iqtree 166295.7
231   output_nomerge_100reps/nomerge22.nex.iqtree 166310.2
301   output_nomerge_100reps/nomerge29.nex.iqtree 166312.6
921   output_nomerge_100reps/nomerge91.nex.iqtree 166314.0
12              output_100reps/merge11.nex.iqtree 166317.8
54              output_100reps/merge53.nex.iqtree 166328.4
72              output_100reps/merge71.nex.iqtree 166331.7
96              output_100reps/merge95.nex.iqtree 166344.0
8               output_100reps/merge08.nex.iqtree 166357.1
95              output_100reps/merge94.nex.iqtree 166359.7
25              output_100reps/merge24.nex.iqtree 166360.1
171   output_nomerge_100reps/nomerge16.nex.iqtree 166362.7
571   output_nomerge_100reps/nomerge56.nex.iqtree 166364.9
78              output_100reps/merge77.nex.iqtree 166368.4
43              output_100reps/merge42.nex.iqtree 166369.6
71              output_100reps/merge70.nex.iqtree 166372.2
31              output_100reps/merge30.nex.iqtree 166374.6
131   output_nomerge_100reps/nomerge12.nex.iqtree 166379.5
9               output_100reps/merge09.nex.iqtree 166380.1
251   output_nomerge_100reps/nomerge24.nex.iqtree 166389.7
621   output_nomerge_100reps/nomerge61.nex.iqtree 166396.6
98              output_100reps/merge97.nex.iqtree 166397.5
49              output_100reps/merge48.nex.iqtree 166398.1
87              output_100reps/merge86.nex.iqtree 166399.2
29              output_100reps/merge28.nex.iqtree 166407.6
181   output_nomerge_100reps/nomerge17.nex.iqtree 166411.4
73              output_100reps/merge72.nex.iqtree 166413.9
971   output_nomerge_100reps/nomerge96.nex.iqtree 166417.6
55              output_100reps/merge54.nex.iqtree 166433.8
93              output_100reps/merge92.nex.iqtree 166435.0
39              output_100reps/merge38.nex.iqtree 166443.1
94              output_100reps/merge93.nex.iqtree 166452.5
66              output_100reps/merge65.nex.iqtree 166460.0
3               output_100reps/merge03.nex.iqtree 166463.7
80              output_100reps/merge79.nex.iqtree 166466.4
410   output_nomerge_100reps/nomerge04.nex.iqtree 166468.8
310   output_nomerge_100reps/nomerge03.nex.iqtree 166470.7
52              output_100reps/merge51.nex.iqtree 166475.8
491   output_nomerge_100reps/nomerge48.nex.iqtree 166488.5
45              output_100reps/merge44.nex.iqtree 166490.0
910   output_nomerge_100reps/nomerge09.nex.iqtree 166493.5
18              output_100reps/merge17.nex.iqtree 166501.2
661   output_nomerge_100reps/nomerge65.nex.iqtree 166514.2
92              output_100reps/merge91.nex.iqtree 166514.2
20              output_100reps/merge19.nex.iqtree 166520.7
44              output_100reps/merge43.nex.iqtree 166536.0
56              output_100reps/merge55.nex.iqtree 166537.1
241   output_nomerge_100reps/nomerge23.nex.iqtree 166538.7
27              output_100reps/merge26.nex.iqtree 166539.1
86              output_100reps/merge85.nex.iqtree 166543.5
67              output_100reps/merge66.nex.iqtree 166561.0
191   output_nomerge_100reps/nomerge18.nex.iqtree 166570.4
541   output_nomerge_100reps/nomerge53.nex.iqtree 166572.8
68              output_100reps/merge67.nex.iqtree 166583.4
711   output_nomerge_100reps/nomerge70.nex.iqtree 166588.9
671   output_nomerge_100reps/nomerge66.nex.iqtree 166598.4
610   output_nomerge_100reps/nomerge06.nex.iqtree 166614.4
14              output_100reps/merge13.nex.iqtree 166615.6
351   output_nomerge_100reps/nomerge34.nex.iqtree 166635.0
931   output_nomerge_100reps/nomerge92.nex.iqtree 166646.2
32              output_100reps/merge31.nex.iqtree 166649.5
451   output_nomerge_100reps/nomerge44.nex.iqtree 166651.3
721   output_nomerge_100reps/nomerge71.nex.iqtree 166663.8
82              output_100reps/merge81.nex.iqtree 166663.9
471   output_nomerge_100reps/nomerge46.nex.iqtree 166665.2
521   output_nomerge_100reps/nomerge51.nex.iqtree 166666.8
441   output_nomerge_100reps/nomerge43.nex.iqtree 166672.9
611   output_nomerge_100reps/nomerge60.nex.iqtree 166674.6
77              output_100reps/merge76.nex.iqtree 166674.9
401   output_nomerge_100reps/nomerge39.nex.iqtree 166676.7
781   output_nomerge_100reps/nomerge77.nex.iqtree 166677.1
361   output_nomerge_100reps/nomerge35.nex.iqtree 166678.7
531   output_nomerge_100reps/nomerge52.nex.iqtree 166694.4
221   output_nomerge_100reps/nomerge21.nex.iqtree 166699.5
481   output_nomerge_100reps/nomerge47.nex.iqtree 166702.9
681   output_nomerge_100reps/nomerge67.nex.iqtree 166708.7
561   output_nomerge_100reps/nomerge55.nex.iqtree 166715.5
271   output_nomerge_100reps/nomerge26.nex.iqtree 166729.4
1001  output_nomerge_100reps/nomerge99.nex.iqtree 166737.6
13              output_100reps/merge12.nex.iqtree 166738.8
281   output_nomerge_100reps/nomerge27.nex.iqtree 166755.1
941   output_nomerge_100reps/nomerge93.nex.iqtree 166759.3
111  output_nomerge_100reps/nomerge100.nex.iqtree 166772.5
211   output_nomerge_100reps/nomerge20.nex.iqtree 166781.5
26              output_100reps/merge25.nex.iqtree 166782.5
991   output_nomerge_100reps/nomerge98.nex.iqtree 166786.2
4               output_100reps/merge04.nex.iqtree 166788.2
591   output_nomerge_100reps/nomerge58.nex.iqtree 166788.4
311   output_nomerge_100reps/nomerge30.nex.iqtree 166790.8
28              output_100reps/merge27.nex.iqtree 166794.3
21              output_100reps/merge20.nex.iqtree 166796.3
33              output_100reps/merge32.nex.iqtree 166797.2
46              output_100reps/merge45.nex.iqtree 166800.2
261   output_nomerge_100reps/nomerge25.nex.iqtree 166808.5
751   output_nomerge_100reps/nomerge74.nex.iqtree 166815.7
831   output_nomerge_100reps/nomerge82.nex.iqtree 166817.8
851   output_nomerge_100reps/nomerge84.nex.iqtree 166819.3
161   output_nomerge_100reps/nomerge15.nex.iqtree 166822.0
69              output_100reps/merge68.nex.iqtree 166825.9
641   output_nomerge_100reps/nomerge63.nex.iqtree 166833.0
59              output_100reps/merge58.nex.iqtree 166836.1
1               output_100reps/merge01.nex.iqtree 166836.4
511   output_nomerge_100reps/nomerge50.nex.iqtree 166842.8
891   output_nomerge_100reps/nomerge88.nex.iqtree 166844.0
70              output_100reps/merge69.nex.iqtree 166852.7
291   output_nomerge_100reps/nomerge28.nex.iqtree 166859.3
10              output_100reps/merge10.nex.iqtree 166863.1
100             output_100reps/merge99.nex.iqtree 166869.0
76              output_100reps/merge75.nex.iqtree 166871.2
371   output_nomerge_100reps/nomerge36.nex.iqtree 166876.2
65              output_100reps/merge64.nex.iqtree 166880.3
501   output_nomerge_100reps/nomerge49.nex.iqtree 166883.1
75              output_100reps/merge74.nex.iqtree 166885.8
53              output_100reps/merge52.nex.iqtree 166894.3
601   output_nomerge_100reps/nomerge59.nex.iqtree 166896.5
461   output_nomerge_100reps/nomerge45.nex.iqtree 166898.0
581   output_nomerge_100reps/nomerge57.nex.iqtree 166933.8
38              output_100reps/merge37.nex.iqtree 166934.6
821   output_nomerge_100reps/nomerge81.nex.iqtree 166949.9
11             output_100reps/merge100.nex.iqtree 166951.6
6               output_100reps/merge06.nex.iqtree 166954.1
19              output_100reps/merge18.nex.iqtree 166972.1
22              output_100reps/merge21.nex.iqtree 166972.6
35              output_100reps/merge34.nex.iqtree 166975.5
62              output_100reps/merge61.nex.iqtree 166982.1
42              output_100reps/merge41.nex.iqtree 166984.7
84              output_100reps/merge83.nex.iqtree 166986.6
90              output_100reps/merge89.nex.iqtree 166988.1
23              output_100reps/merge22.nex.iqtree 166989.6
64              output_100reps/merge63.nex.iqtree 167061.6
61              output_100reps/merge60.nex.iqtree 167062.8
551   output_nomerge_100reps/nomerge54.nex.iqtree 167078.9
121   output_nomerge_100reps/nomerge11.nex.iqtree 167098.6
24              output_100reps/merge23.nex.iqtree 167108.5
731   output_nomerge_100reps/nomerge72.nex.iqtree 167117.7
34              output_100reps/merge33.nex.iqtree 167122.5
651   output_nomerge_100reps/nomerge64.nex.iqtree 167127.7
37              output_100reps/merge36.nex.iqtree 167130.3
40              output_100reps/merge39.nex.iqtree 167130.5
41              output_100reps/merge40.nex.iqtree 167130.9
5               output_100reps/merge05.nex.iqtree 167160.5
701   output_nomerge_100reps/nomerge69.nex.iqtree 167163.9
961   output_nomerge_100reps/nomerge95.nex.iqtree 167185.2
7               output_100reps/merge07.nex.iqtree 167210.3
341   output_nomerge_100reps/nomerge33.nex.iqtree 167217.2
881   output_nomerge_100reps/nomerge87.nex.iqtree 167258.7
48              output_100reps/merge47.nex.iqtree 167278.2
741   output_nomerge_100reps/nomerge73.nex.iqtree 167282.2
421   output_nomerge_100reps/nomerge41.nex.iqtree 167291.5
901   output_nomerge_100reps/nomerge89.nex.iqtree 167294.3
151   output_nomerge_100reps/nomerge14.nex.iqtree 167297.3
331   output_nomerge_100reps/nomerge32.nex.iqtree 167362.6
79              output_100reps/merge78.nex.iqtree 167374.7
2               output_100reps/merge02.nex.iqtree 167389.4
201   output_nomerge_100reps/nomerge19.nex.iqtree 167389.9
97              output_100reps/merge96.nex.iqtree 167391.1
60              output_100reps/merge59.nex.iqtree 167396.5
17              output_100reps/merge16.nex.iqtree 167424.0
91              output_100reps/merge90.nex.iqtree 167431.9
47              output_100reps/merge46.nex.iqtree 167432.4
391   output_nomerge_100reps/nomerge38.nex.iqtree 167440.0
791   output_nomerge_100reps/nomerge78.nex.iqtree 167448.6
36              output_100reps/merge35.nex.iqtree 167454.4
57              output_100reps/merge56.nex.iqtree 167471.2
58              output_100reps/merge57.nex.iqtree 167491.9
74              output_100reps/merge73.nex.iqtree 167523.1
88              output_100reps/merge87.nex.iqtree 167538.0
30              output_100reps/merge29.nex.iqtree 167546.0
99              output_100reps/merge98.nex.iqtree 167547.0
81              output_100reps/merge80.nex.iqtree 167549.2
861   output_nomerge_100reps/nomerge85.nex.iqtree 167581.3
